container,Match,Container,Pallet,notes,Created TS
00008178101113933646,TRUE,TRUE,TRUE,,3/1/2021 11:45:17 AM
00008178101113933806,TRUE,TRUE,TRUE,,3/1/2021 11:51:04 AM
00008178101113934599,TRUE,TRUE,TRUE,,3/1/2021 8:26:19 AM
00008178101113938474,TRUE,TRUE,TRUE,,3/2/2021 5:58:59 AM
00008178101113938894,TRUE,TRUE,TRUE,,3/1/2021 1:44:47 PM
00008178101113947551,TRUE,TRUE,TRUE,,3/1/2021 11:42:41 AM
00008178101113949210,TRUE,TRUE,TRUE,,3/2/2021 8:25:45 AM
00008178101113950858,FALSE,FALSE,FALSE,,3/1/2021 8:40:13 AM
00008178101113951190,TRUE,TRUE,TRUE,,3/2/2021 8:38:06 AM
00008178101113961755,TRUE,TRUE,TRUE,,3/1/2021 11:54:06 AM
00008178101113963551,TRUE,TRUE,TRUE,,2/27/2021 11:04:14 AM
00008178101113963759,TRUE,TRUE,TRUE,,2/27/2021 12:40:25 PM
00008178101113964978,TRUE,TRUE,TRUE,,3/1/2021 8:07:46 AM
00008178101113965029,TRUE,TRUE,TRUE,,3/1/2021 1:29:55 PM
00008178101113965135,TRUE,TRUE,TRUE,,3/1/2021 3:08:46 PM
00008178101113968013,TRUE,TRUE,TRUE,,3/1/2021 1:28:34 PM
00008178101113968044,TRUE,TRUE,TRUE,,3/1/2021 11:51:52 AM
00008178101113968068,TRUE,TRUE,TRUE,,3/1/2021 3:05:59 PM
00008178101113970986,TRUE,TRUE,TRUE,,3/1/2021 11:53:14 AM
00008178101113972935,TRUE,TRUE,TRUE,,3/1/2021 8:03:48 AM
00008178101113973147,TRUE,TRUE,TRUE,,2/27/2021 11:43:50 AM
00008178101113973246,TRUE,TRUE,TRUE,,2/27/2021 1:15:31 PM
00008178101113979040,TRUE,TRUE,TRUE,,3/2/2021 8:32:36 AM
00008178101113979651,TRUE,TRUE,TRUE,,3/2/2021 8:37:28 AM
00008178101113982330,TRUE,TRUE,TRUE,,2/27/2021 11:28:51 AM
00008178101113982521,TRUE,TRUE,TRUE,,2/27/2021 1:00:53 PM
00008178101113991547,TRUE,TRUE,TRUE,,3/2/2021 11:24:28 AM
00008178101113991776,TRUE,TRUE,TRUE,,3/3/2021 9:04:02 AM
00008178101113991868,TRUE,TRUE,TRUE,,3/3/2021 11:24:03 AM
00008178101114002112,TRUE,TRUE,TRUE,,3/1/2021 12:04:18 PM
00008178101114012203,TRUE,TRUE,TRUE,,2/27/2021 11:24:17 AM
00008178101114014344,TRUE,TRUE,TRUE,,2/27/2021 1:09:06 PM
00008178101114014351,TRUE,TRUE,TRUE,,3/1/2021 8:24:41 AM
00008178101114014481,TRUE,TRUE,TRUE,,3/2/2021 11:13:48 AM
00008178101114014924,TRUE,TRUE,TRUE,,3/3/2021 8:59:51 AM
00008178101114015617,TRUE,TRUE,TRUE,,3/3/2021 8:57:44 AM
